slug,name,bytes,source,permanent_url
paul-von-zielbauer,Paul von Zielbauer,8688,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/paul-von-zielbauer.jpg
preston-weekes,Preston Weekes,10416,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/preston-weekes.jpg
rahkim-sabree,Rahkim Sabree,11060,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/rahkim-sabree.jpg
ren-e-devore,Renée DeVore,13582,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/ren-e-devore.jpg
rich-ingram,Rich Ingram,12435,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/rich-ingram.jpg
rodney-lawson,Rodney Lawson,10444,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/rodney-lawson.jpg
r-scott-edwards,R Scott Edwards,9333,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/r-scott-edwards.jpg
steve-hulford,Steve Hulford,6745,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/steve-hulford.jpg
tanner-macivor,Tanner MacIvor,8636,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/tanner-macivor.jpg
tom-caulfield,Tom Caulfield,6318,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/tom-caulfield.jpg
tony-teegarden,Tony Teegarden,13018,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/tony-teegarden.jpg
travis-rosbach,Travis Rosbach,11238,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/travis-rosbach.jpg
wes-pearce,Wes Pearce,9753,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/wes-pearce.jpg
will-harris,Will Harris,11009,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/will-harris.jpg
william-j-bill-mathias-jr,William J. (Bill) Mathias,https://media.licdn.com/dms/image/v2/D4E03AQFcoWj0jsa6xw/profile-displayphoto-scale_200_200/B4EZy50bJOGoAY-/0/1772644054413?e=2147483647&v=beta&t=iZ_JecdJsLqLnHj5fhIAooU9yRHAz-MV_mPOQRPrfAw,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/william-j-bill-mathias-jr.jpg
william-tincup,William Tincup,11164,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/william-tincup.jpg
adam-morrisey,Adam Morrisey,7692,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/adam-morrisey.jpg
